"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","19"
"Janssen Vaccines & Prevention B.V","free state","Adults","1"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","161"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","197"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","40"
"Janssen Vaccines & Prevention B.V","north west","Adults","110"
"Janssen Vaccines & Prevention B.V","western cape","Adults","14"
"Pfizer","eastern cape","12-17 Years","21"
"Pfizer","eastern cape","Adults","30"
"Pfizer","free state","12-17 Years","2"
"Pfizer","free state","Adults","5"
"Pfizer","gauteng","12-17 Years","54"
"Pfizer","gauteng","Adults","152"
"Pfizer","kwazulu-natal","12-17 Years","36"
"Pfizer","kwazulu-natal","Adults","104"
"Pfizer","limpopo","12-17 Years","6"
"Pfizer","limpopo","Adults","17"
"Pfizer","mpumalanga","12-17 Years","0"
"Pfizer","mpumalanga","Adults","3"
"Pfizer","north west","12-17 Years","61"
"Pfizer","north west","Adults","94"
"Pfizer","western cape","12-17 Years","1"
"Pfizer","western cape","Adults","5"
