"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","531678"
"kwazulu-natal","Private Health","1222178"
"western cape","Private Health","1898836"
"limpopo","Private Health","595631"
"northern cape","Public Health","586495"
"gauteng","Private Health","4509319"
"kwazulu-natal","Public Health","4540658"
"free state","Public Health","1822290"
"north west","Public Health","1761347"
"gauteng","Public Health","5749795"
"mpumalanga","Private Health","398291"
"mpumalanga","Public Health","1859699"
"northern cape","Private Health","155773"
"eastern cape","Private Health","684249"
"western cape","Public Health","3635575"
"limpopo","Public Health","3080939"
"free state","Private Health","394781"
"eastern cape","Public Health","3430141"
