"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10568","5124","15692"
"National","eastern cape","Private Health","Male","8909","3954","12863"
"National","eastern cape","Public Health","Female","144300","50701","195001"
"National","eastern cape","Public Health","Male","118297","35427","153724"
"National","free state","Private Health","Female","9211","4573","13784"
"National","free state","Private Health","Male","7548","3485","11033"
"National","free state","Public Health","Female","84043","39761","123804"
"National","free state","Public Health","Male","71827","29725","101552"
"National","gauteng","Private Health","Female","53888","30108","83996"
"National","gauteng","Private Health","Male","49474","25757","75231"
"National","gauteng","Public Health","Female","163875","65488","229363"
"National","gauteng","Public Health","Male","129417","47951","177368"
"National","kwazulu-natal","Private Health","Female","17292","9698","26990"
"National","kwazulu-natal","Private Health","Male","15629","8237","23866"
"National","kwazulu-natal","Public Health","Female","156208","63648","219856"
"National","kwazulu-natal","Public Health","Male","106376","38771","145147"
"National","limpopo","Private Health","Female","11848","5132","16980"
"National","limpopo","Private Health","Male","9229","3582","12811"
"National","limpopo","Public Health","Female","141324","47272","188596"
"National","limpopo","Public Health","Male","122760","35408","158168"
"National","mpumalanga","Private Health","Female","4039","1720","5759"
"National","mpumalanga","Private Health","Male","3524","1503","5027"
"National","mpumalanga","Public Health","Female","75525","25339","100864"
"National","mpumalanga","Public Health","Male","62756","17678","80434"
"National","northern cape","Private Health","Female","2147","1065","3212"
"National","northern cape","Private Health","Male","1976","802","2778"
"National","northern cape","Public Health","Female","17044","5553","22597"
"National","northern cape","Public Health","Male","13334","4086","17420"
"National","north west","Private Health","Female","5281","2444","7725"
"National","north west","Private Health","Male","4765","2043","6808"
"National","north west","Public Health","Female","79234","27867","107101"
"National","north west","Public Health","Male","65564","20094","85658"
"National","western cape","Private Health","Female","23694","12620","36314"
"National","western cape","Private Health","Male","21326","10920","32246"
"National","western cape","Public Health","Female","47296","15834","63130"
"National","western cape","Public Health","Male","39416","12939","52355"
