"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536870"
"kwazulu-natal","Private Health","1236380"
"western cape","Private Health","1921873"
"limpopo","Private Health","608376"
"northern cape","Public Health","607935"
"gauteng","Private Health","4571572"
"kwazulu-natal","Public Health","4658979"
"free state","Public Health","1863020"
"north west","Public Health","1784475"
"gauteng","Public Health","5831899"
"mpumalanga","Private Health","406291"
"mpumalanga","Public Health","1927301"
"northern cape","Private Health","157979"
"eastern cape","Private Health","694016"
"western cape","Public Health","3679892"
"limpopo","Public Health","3141740"
"free state","Private Health","400192"
"eastern cape","Public Health","3543139"
