"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","527882"
"kwazulu-natal","Private Health","1213570"
"western cape","Private Health","1885010"
"limpopo","Private Health","590170"
"northern cape","Public Health","575079"
"gauteng","Private Health","4472392"
"kwazulu-natal","Public Health","4465722"
"free state","Public Health","1799719"
"north west","Public Health","1742426"
"gauteng","Public Health","5694400"
"mpumalanga","Private Health","393907"
"mpumalanga","Public Health","1822833"
"northern cape","Private Health","154621"
"eastern cape","Private Health","678967"
"western cape","Public Health","3612610"
"limpopo","Public Health","3036960"
"free state","Private Health","391193"
"eastern cape","Public Health","3381805"
