"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","70"
"eastern cape","Public Health","2746"
"free state","Private Health","59"
"free state","Public Health","774"
"gauteng","Private Health","590"
"gauteng","Public Health","1320"
"kwazulu-natal","Private Health","122"
"kwazulu-natal","Public Health","2141"
"limpopo","Private Health","136"
"limpopo","Public Health","1530"
"mpumalanga","Private Health","67"
"mpumalanga","Public Health","1233"
"northern cape","Private Health","23"
"northern cape","Public Health","189"
"north west","Private Health","69"
"north west","Public Health","273"
"western cape","Private Health","169"
"western cape","Public Health","1104"
