"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","70"
"eastern cape","Public Health","2580"
"free state","Private Health","14"
"free state","Public Health","725"
"gauteng","Private Health","506"
"gauteng","Public Health","1347"
"kwazulu-natal","Private Health","123"
"kwazulu-natal","Public Health","1683"
"limpopo","Private Health","469"
"limpopo","Public Health","1366"
"mpumalanga","Private Health","59"
"mpumalanga","Public Health","883"
"northern cape","Private Health","21"
"northern cape","Public Health","208"
"north west","Private Health","66"
"north west","Public Health","329"
"western cape","Private Health","143"
"western cape","Public Health","700"
