"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","518358"
"kwazulu-natal","Private Health","1195250"
"western cape","Private Health","1853685"
"limpopo","Private Health","576950"
"northern cape","Public Health","551717"
"gauteng","Private Health","4397144"
"kwazulu-natal","Public Health","4275974"
"free state","Public Health","1742584"
"north west","Public Health","1693121"
"gauteng","Public Health","5552613"
"mpumalanga","Private Health","387033"
"mpumalanga","Public Health","1749366"
"northern cape","Private Health","151503"
"eastern cape","Private Health","667478"
"western cape","Public Health","3559640"
"limpopo","Public Health","2920900"
"free state","Private Health","380931"
"eastern cape","Public Health","3251004"
