"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","896225"
"Janssen Vaccines & Prevention B.V","free state","Adults","477243"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1493101"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1199892"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1057103"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","792595"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","210098"
"Janssen Vaccines & Prevention B.V","north west","Adults","700453"
"Janssen Vaccines & Prevention B.V","western cape","Adults","735352"
"Pfizer","eastern cape","12-17 Years","67795"
"Pfizer","eastern cape","Adults","1090916"
"Pfizer","free state","12-17 Years","65332"
"Pfizer","free state","Adults","573205"
"Pfizer","gauteng","12-17 Years","147749"
"Pfizer","gauteng","Adults","3304075"
"Pfizer","kwazulu-natal","12-17 Years","87336"
"Pfizer","kwazulu-natal","Adults","1582799"
"Pfizer","limpopo","12-17 Years","69824"
"Pfizer","limpopo","Adults","852751"
"Pfizer","mpumalanga","12-17 Years","34987"
"Pfizer","mpumalanga","Adults","453228"
"Pfizer","northern cape","12-17 Years","8295"
"Pfizer","northern cape","Adults","186684"
"Pfizer","north west","12-17 Years","43966"
"Pfizer","north west","Adults","524483"
"Pfizer","western cape","12-17 Years","49141"
"Pfizer","western cape","Adults","1832205"
