"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","885778"
"Janssen Vaccines & Prevention B.V","free state","Adults","471826"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1469940"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1184625"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1046042"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","779199"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","208159"
"Janssen Vaccines & Prevention B.V","north west","Adults","692479"
"Janssen Vaccines & Prevention B.V","western cape","Adults","728580"
"Pfizer","eastern cape","12-17 Years","48854"
"Pfizer","eastern cape","Adults","1078018"
"Pfizer","free state","12-17 Years","55916"
"Pfizer","free state","Adults","565765"
"Pfizer","gauteng","12-17 Years","128625"
"Pfizer","gauteng","Adults","3262472"
"Pfizer","kwazulu-natal","12-17 Years","65742"
"Pfizer","kwazulu-natal","Adults","1559627"
"Pfizer","limpopo","12-17 Years","59259"
"Pfizer","limpopo","Adults","841813"
"Pfizer","mpumalanga","12-17 Years","28461"
"Pfizer","mpumalanga","Adults","446659"
"Pfizer","northern cape","12-17 Years","7367"
"Pfizer","northern cape","Adults","184681"
"Pfizer","north west","12-17 Years","36564"
"Pfizer","north west","Adults","516630"
"Pfizer","western cape","12-17 Years","47296"
"Pfizer","western cape","Adults","1818311"
