"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10690","4666","15356"
"National","eastern cape","Private Health","Male","8872","3526","12398"
"National","eastern cape","Public Health","Female","116171","24472","140643"
"National","eastern cape","Public Health","Male","93184","16190","109374"
"National","free state","Private Health","Female","8810","3772","12582"
"National","free state","Private Health","Male","7174","2880","10054"
"National","free state","Public Health","Female","75700","28628","104328"
"National","free state","Public Health","Male","64048","20636","84684"
"National","gauteng","Private Health","Female","54016","27438","81454"
"National","gauteng","Private Health","Male","48945","23054","71999"
"National","gauteng","Public Health","Female","144558","44878","189436"
"National","gauteng","Public Health","Male","114029","33255","147284"
"National","kwazulu-natal","Private Health","Female","17488","9088","26576"
"National","kwazulu-natal","Private Health","Male","15718","7671","23389"
"National","kwazulu-natal","Public Health","Female","117070","30270","147340"
"National","kwazulu-natal","Public Health","Male","79258","18713","97971"
"National","limpopo","Private Health","Female","10339","4286","14625"
"National","limpopo","Private Health","Male","8203","3074","11277"
"National","limpopo","Public Health","Female","111942","29572","141514"
"National","limpopo","Public Health","Male","93839","22327","116166"
"National","mpumalanga","Private Health","Female","4038","1538","5576"
"National","mpumalanga","Private Health","Male","3507","1317","4824"
"National","mpumalanga","Public Health","Female","61711","14835","76546"
"National","mpumalanga","Public Health","Male","51786","10771","62557"
"National","northern cape","Private Health","Female","2137","963","3100"
"National","northern cape","Private Health","Male","1912","699","2611"
"National","northern cape","Public Health","Female","10997","3254","14251"
"National","northern cape","Public Health","Male","8820","2451","11271"
"National","north west","Private Health","Female","5210","2195","7405"
"National","north west","Private Health","Male","4691","1858","6549"
"National","north west","Public Health","Female","71198","18921","90119"
"National","north west","Public Health","Male","59086","13590","72676"
"National","western cape","Private Health","Female","23605","11364","34969"
"National","western cape","Private Health","Male","20978","9592","30570"
"National","western cape","Public Health","Female","46667","14530","61197"
"National","western cape","Public Health","Male","38542","11810","50352"
