"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","505098"
"kwazulu-natal","Private Health","1172737"
"western cape","Private Health","1815978"
"limpopo","Private Health","562852"
"northern cape","Public Health","536840"
"gauteng","Private Health","4305767"
"kwazulu-natal","Public Health","4149001"
"free state","Public Health","1689402"
"north west","Public Health","1643856"
"gauteng","Public Health","5423091"
"mpumalanga","Private Health","379864"
"mpumalanga","Public Health","1687444"
"northern cape","Private Health","148252"
"eastern cape","Private Health","654050"
"western cape","Public Health","3511117"
"limpopo","Public Health","2829779"
"free state","Private Health","371106"
"eastern cape","Public Health","3140365"
