"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10491","5128","15619"
"National","eastern cape","Private Health","Male","8865","3980","12845"
"National","eastern cape","Public Health","Female","143886","50882","194768"
"National","eastern cape","Public Health","Male","117977","35558","153535"
"National","free state","Private Health","Female","9165","4608","13773"
"National","free state","Private Health","Male","7517","3493","11010"
"National","free state","Public Health","Female","83781","39875","123656"
"National","free state","Public Health","Male","71598","29823","101421"
"National","gauteng","Private Health","Female","53750","30352","84102"
"National","gauteng","Private Health","Male","49358","25974","75332"
"National","gauteng","Public Health","Female","163344","65729","229073"
"National","gauteng","Public Health","Male","129026","48162","177188"
"National","kwazulu-natal","Private Health","Female","17181","9705","26886"
"National","kwazulu-natal","Private Health","Male","15539","8261","23800"
"National","kwazulu-natal","Public Health","Female","156224","64323","220547"
"National","kwazulu-natal","Public Health","Male","106339","39116","145455"
"National","limpopo","Private Health","Female","11817","5169","16986"
"National","limpopo","Private Health","Male","9200","3620","12820"
"National","limpopo","Public Health","Female","140969","47593","188562"
"National","limpopo","Public Health","Male","122458","35626","158084"
"National","mpumalanga","Private Health","Female","4026","1732","5758"
"National","mpumalanga","Private Health","Male","3509","1517","5026"
"National","mpumalanga","Public Health","Female","75488","25474","100962"
"National","mpumalanga","Public Health","Male","62704","17778","80482"
"National","northern cape","Private Health","Female","2140","1069","3209"
"National","northern cape","Private Health","Male","1969","817","2786"
"National","northern cape","Public Health","Female","17140","5739","22879"
"National","northern cape","Public Health","Male","13410","4207","17617"
"National","north west","Private Health","Female","5248","2447","7695"
"National","north west","Private Health","Male","4751","2049","6800"
"National","north west","Public Health","Female","78934","27871","106805"
"National","north west","Public Health","Male","65378","20163","85541"
"National","western cape","Private Health","Female","23629","12725","36354"
"National","western cape","Private Health","Male","21262","10988","32250"
"National","western cape","Public Health","Female","47011","15868","62879"
"National","western cape","Public Health","Male","39280","13013","52293"
