"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533001"
"kwazulu-natal","Private Health","1226383"
"western cape","Private Health","1905103"
"limpopo","Private Health","598112"
"northern cape","Public Health","593951"
"gauteng","Private Health","4526725"
"kwazulu-natal","Public Health","4568963"
"free state","Public Health","1832408"
"north west","Public Health","1768755"
"gauteng","Public Health","5769983"
"mpumalanga","Private Health","401132"
"mpumalanga","Public Health","1877105"
"northern cape","Private Health","156369"
"eastern cape","Private Health","686518"
"western cape","Public Health","3645666"
"limpopo","Public Health","3091566"
"free state","Private Health","395921"
"eastern cape","Public Health","3450168"
