"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538643"
"kwazulu-natal","Private Health","1238663"
"western cape","Private Health","1924791"
"limpopo","Private Health","612330"
"northern cape","Public Health","618350"
"gauteng","Private Health","4590380"
"kwazulu-natal","Public Health","4703294"
"mpumalanga","","23"
"free state","Public Health","1879943"
"north west","Public Health","1806066"
"gauteng","Public Health","5898003"
"mpumalanga","Private Health","406995"
"mpumalanga","Public Health","1960706"
"western cape","","3"
"northern cape","Private Health","158533"
"eastern cape","Private Health","695614"
"western cape","Public Health","3708652"
"limpopo","Public Health","3192705"
"limpopo","","2"
"free state","Private Health","402467"
"eastern cape","Public Health","3622830"
