"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","9"
"eastern cape","Public Health","1725"
"free state","Private Health","64"
"free state","Public Health","312"
"gauteng","Private Health","178"
"gauteng","Public Health","1193"
"kwazulu-natal","Private Health","7"
"kwazulu-natal","Public Health","683"
"limpopo","Private Health","105"
"limpopo","Public Health","1268"
"mpumalanga","Private Health","7"
"mpumalanga","Public Health","780"
"northern cape","Private Health","10"
"northern cape","Public Health","301"
"north west","Private Health","16"
"north west","Public Health","358"
"western cape","Private Health","27"
"western cape","Public Health","425"
