"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","79"
"Janssen Vaccines & Prevention B.V","free state","Adults","21"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","335"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","127"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","253"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","135"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","30"
"Janssen Vaccines & Prevention B.V","north west","Adults","58"
"Janssen Vaccines & Prevention B.V","western cape","Adults","76"
"Pfizer","eastern cape","12-17 Years","496"
"Pfizer","eastern cape","Adults","197"
"Pfizer","free state","12-17 Years","85"
"Pfizer","free state","Adults","52"
"Pfizer","gauteng","12-17 Years","38"
"Pfizer","gauteng","Adults","218"
"Pfizer","kwazulu-natal","12-17 Years","52"
"Pfizer","kwazulu-natal","Adults","148"
"Pfizer","limpopo","12-17 Years","222"
"Pfizer","limpopo","Adults","156"
"Pfizer","mpumalanga","12-17 Years","112"
"Pfizer","mpumalanga","Adults","92"
"Pfizer","northern cape","12-17 Years","124"
"Pfizer","northern cape","Adults","30"
"Pfizer","north west","12-17 Years","2"
"Pfizer","north west","Adults","60"
"Pfizer","western cape","12-17 Years","59"
"Pfizer","western cape","Adults","66"
