"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","279"
"eastern cape","Public Health","370"
"free state","Private Health","68"
"free state","Public Health","200"
"gauteng","Private Health","3301"
"gauteng","Public Health","1541"
"kwazulu-natal","Private Health","964"
"kwazulu-natal","Public Health","1074"
"limpopo","Private Health","457"
"limpopo","Public Health","316"
"mpumalanga","Private Health","211"
"mpumalanga","Public Health","492"
"northern cape","Private Health","72"
"northern cape","Public Health","34"
"north west","Private Health","196"
"north west","Public Health","775"
"western cape","Private Health","906"
"western cape","Public Health","187"
