"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","5"
"eastern cape","Public Health","1330"
"free state","Private Health","3"
"free state","Public Health","163"
"gauteng","Private Health","194"
"gauteng","Public Health","1084"
"kwazulu-natal","Private Health","30"
"kwazulu-natal","Public Health","367"
"limpopo","Private Health","54"
"limpopo","Public Health","573"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","438"
"northern cape","Private Health","2"
"northern cape","Public Health","152"
"north west","Private Health","13"
"north west","Public Health","321"
"western cape","Private Health","32"
"western cape","Public Health","373"
