"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","351"
"eastern cape","Public Health","2531"
"free state","Private Health","154"
"free state","Public Health","1378"
"gauteng","Private Health","1797"
"gauteng","Public Health","2581"
"kwazulu-natal","Private Health","348"
"kwazulu-natal","Public Health","2474"
"limpopo","Private Health","389"
"limpopo","Public Health","1399"
"mpumalanga","Private Health","196"
"mpumalanga","Public Health","1902"
"northern cape","Private Health","33"
"northern cape","Public Health","822"
"north west","Private Health","167"
"north west","Public Health","816"
"western cape","Private Health","619"
"western cape","Public Health","939"
