"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","295","0","688","983"
"Janssen Vaccines & Prevention B.V","free state","Adults","139","0","368","507"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","634","0","389","1023"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","326","0","404","730"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","188","0","308","496"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","431","0","551","982"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","73","0","226","299"
"Janssen Vaccines & Prevention B.V","north west","Adults","154","0","174","328"
"Janssen Vaccines & Prevention B.V","western cape","Adults","175","0","167","342"
"Pfizer","eastern cape","12-17 Years","85","130","0","215"
"Pfizer","eastern cape","Adults","308","487","889","1684"
"Pfizer","free state","12-17 Years","31","97","0","128"
"Pfizer","free state","Adults","155","277","465","897"
"Pfizer","gauteng","12-17 Years","151","250","0","401"
"Pfizer","gauteng","Adults","872","1025","1057","2954"
"Pfizer","kwazulu-natal","12-17 Years","127","149","0","276"
"Pfizer","kwazulu-natal","Adults","476","656","684","1816"
"Pfizer","limpopo","12-17 Years","148","140","0","288"
"Pfizer","limpopo","Adults","178","363","463","1004"
"Pfizer","mpumalanga","12-17 Years","74","71","0","145"
"Pfizer","mpumalanga","Adults","207","318","446","971"
"Pfizer","northern cape","12-17 Years","44","44","0","88"
"Pfizer","northern cape","Adults","129","141","198","468"
"Pfizer","north west","12-17 Years","45","65","0","110"
"Pfizer","north west","Adults","168","181","196","545"
"Pfizer","western cape","12-17 Years","50","83","0","133"
"Pfizer","western cape","Adults","169","283","631","1083"
