"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","1","0","0","1"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","4","0","2","6"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","11","0","14","25"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","2","0","2","4"
"Janssen Vaccines & Prevention B.V","north west","Adults","15","0","30","45"
"Janssen Vaccines & Prevention B.V","western cape","Adults","2","0","0","2"
"Pfizer","eastern cape","12-17 Years","2","1","0","3"
"Pfizer","gauteng","12-17 Years","1","1","0","2"
"Pfizer","gauteng","Adults","14","15","6","35"
"Pfizer","kwazulu-natal","Adults","1","1","4","6"
"Pfizer","limpopo","12-17 Years","1","0","0","1"
"Pfizer","limpopo","Adults","0","0","2","2"
"Pfizer","north west","12-17 Years","1","0","0","1"
"Pfizer","north west","Adults","23","38","22","83"
