"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","225"
"eastern cape","Public Health","1636"
"free state","Private Health","105"
"free state","Public Health","1027"
"gauteng","Private Health","1408"
"gauteng","Public Health","2004"
"kwazulu-natal","Private Health","320"
"kwazulu-natal","Public Health","1777"
"limpopo","Private Health","274"
"limpopo","Public Health","1018"
"mpumalanga","Private Health","235"
"mpumalanga","Public Health","1483"
"northern cape","Private Health","28"
"northern cape","Public Health","677"
"north west","Private Health","98"
"north west","Public Health","570"
"western cape","Private Health","531"
"western cape","Public Health","749"
