"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10618","5085","15703"
"National","eastern cape","Private Health","Male","8940","3913","12853"
"National","eastern cape","Public Health","Female","144241","49696","193937"
"National","eastern cape","Public Health","Male","117776","34671","152447"
"National","free state","Private Health","Female","9200","4448","13648"
"National","free state","Private Health","Male","7527","3382","10909"
"National","free state","Public Health","Female","84123","39054","123177"
"National","free state","Public Health","Male","71814","29171","100985"
"National","gauteng","Private Health","Female","53955","29763","83718"
"National","gauteng","Private Health","Male","49438","25419","74857"
"National","gauteng","Public Health","Female","163211","64277","227488"
"National","gauteng","Public Health","Male","128775","46989","175764"
"National","kwazulu-natal","Private Health","Female","17390","9673","27063"
"National","kwazulu-natal","Private Health","Male","15709","8197","23906"
"National","kwazulu-natal","Public Health","Female","154229","61470","215699"
"National","kwazulu-natal","Public Health","Male","104898","37377","142275"
"National","limpopo","Private Health","Female","11804","5084","16888"
"National","limpopo","Private Health","Male","9145","3532","12677"
"National","limpopo","Public Health","Female","139640","45489","185129"
"National","limpopo","Public Health","Male","121216","34267","155483"
"National","mpumalanga","Private Health","Female","4050","1692","5742"
"National","mpumalanga","Private Health","Male","3529","1476","5005"
"National","mpumalanga","Public Health","Female","75076","24545","99621"
"National","mpumalanga","Public Health","Male","62473","17248","79721"
"National","northern cape","Private Health","Female","2150","1045","3195"
"National","northern cape","Private Health","Male","1969","784","2753"
"National","northern cape","Public Health","Female","16879","5354","22233"
"National","northern cape","Public Health","Male","13240","3971","17211"
"National","north west","Private Health","Female","5268","2425","7693"
"National","north west","Private Health","Male","4764","2017","6781"
"National","north west","Public Health","Female","79217","27476","106693"
"National","north west","Public Health","Male","65500","19713","85213"
"National","western cape","Private Health","Female","23722","12444","36166"
"National","western cape","Private Health","Male","21353","10767","32120"
"National","western cape","Public Health","Female","47175","15581","62756"
"National","western cape","Public Health","Male","39255","12716","51971"
