"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","529172"
"kwazulu-natal","Private Health","1217013"
"western cape","Private Health","1890522"
"limpopo","Private Health","592266"
"northern cape","Public Health","579103"
"gauteng","Private Health","4486180"
"kwazulu-natal","Public Health","4495653"
"free state","Public Health","1806988"
"north west","Public Health","1750743"
"gauteng","Public Health","5715921"
"mpumalanga","Private Health","395274"
"mpumalanga","Public Health","1836081"
"northern cape","Private Health","155060"
"eastern cape","Private Health","680862"
"western cape","Public Health","3620292"
"limpopo","Public Health","3057043"
"free state","Private Health","392546"
"eastern cape","Public Health","3399906"
