"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535894"
"kwazulu-natal","Private Health","1234116"
"western cape","Private Health","1918183"
"limpopo","Private Health","606564"
"northern cape","Public Health","606001"
"gauteng","Private Health","4560992"
"kwazulu-natal","Public Health","4643566"
"free state","Public Health","1855950"
"north west","Public Health","1781125"
"gauteng","Public Health","5815562"
"mpumalanga","Private Health","405635"
"mpumalanga","Public Health","1916830"
"northern cape","Private Health","157558"
"eastern cape","Private Health","693158"
"western cape","Public Health","3671075"
"limpopo","Public Health","3129254"
"free state","Private Health","399191"
"eastern cape","Public Health","3515940"
