"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","919142"
"Janssen Vaccines & Prevention B.V","free state","Adults","487802"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1551284"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1248384"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1081842"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","831715"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216304"
"Janssen Vaccines & Prevention B.V","north west","Adults","714644"
"Janssen Vaccines & Prevention B.V","western cape","Adults","752517"
"Pfizer","eastern cape","12-17 Years","109748"
"Pfizer","eastern cape","Adults","1133581"
"Pfizer","free state","12-17 Years","79755"
"Pfizer","free state","Adults","596178"
"Pfizer","gauteng","12-17 Years","170571"
"Pfizer","gauteng","Adults","3400980"
"Pfizer","kwazulu-natal","12-17 Years","132622"
"Pfizer","kwazulu-natal","Adults","1659350"
"Pfizer","limpopo","12-17 Years","97102"
"Pfizer","limpopo","Adults","881877"
"Pfizer","mpumalanga","12-17 Years","50298"
"Pfizer","mpumalanga","Adults","476442"
"Pfizer","northern cape","12-17 Years","14331"
"Pfizer","northern cape","Adults","194559"
"Pfizer","north west","12-17 Years","52846"
"Pfizer","north west","Adults","541096"
"Pfizer","western cape","12-17 Years","53641"
"Pfizer","western cape","Adults","1867721"
