"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","728"
"Janssen Vaccines & Prevention B.V","free state","Adults","309"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1277"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1152"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","721"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","753"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","147"
"Janssen Vaccines & Prevention B.V","north west","Adults","346"
"Janssen Vaccines & Prevention B.V","western cape","Adults","311"
"Pfizer","eastern cape","12-17 Years","1193"
"Pfizer","eastern cape","Adults","1023"
"Pfizer","free state","12-17 Years","641"
"Pfizer","free state","Adults","379"
"Pfizer","gauteng","12-17 Years","1149"
"Pfizer","gauteng","Adults","1803"
"Pfizer","kwazulu-natal","12-17 Years","1301"
"Pfizer","kwazulu-natal","Adults","1655"
"Pfizer","limpopo","12-17 Years","810"
"Pfizer","limpopo","Adults","572"
"Pfizer","mpumalanga","12-17 Years","529"
"Pfizer","mpumalanga","Adults","324"
"Pfizer","northern cape","12-17 Years","69"
"Pfizer","northern cape","Adults","152"
"Pfizer","north west","12-17 Years","449"
"Pfizer","north west","Adults","294"
"Pfizer","western cape","12-17 Years","105"
"Pfizer","western cape","Adults","732"
