"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","613"
"eastern cape","Public Health","8487"
"free state","Private Health","564"
"free state","Public Health","3489"
"gauteng","Private Health","3767"
"gauteng","Public Health","7750"
"kwazulu-natal","Private Health","874"
"kwazulu-natal","Public Health","10129"
"limpopo","Private Health","652"
"limpopo","Public Health","6232"
"mpumalanga","Private Health","359"
"mpumalanga","Public Health","3786"
"northern cape","Private Health","138"
"northern cape","Public Health","1423"
"north west","Private Health","526"
"north west","Public Health","2551"
"western cape","Private Health","1566"
"western cape","Public Health","2639"
