"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","759"
"eastern cape","Public Health","7899"
"free state","Private Health","673"
"free state","Public Health","3661"
"gauteng","Private Health","4227"
"gauteng","Public Health","7548"
"kwazulu-natal","Private Health","1067"
"kwazulu-natal","Public Health","6490"
"limpopo","Private Health","893"
"limpopo","Public Health","6453"
"mpumalanga","Private Health","443"
"mpumalanga","Public Health","4130"
"northern cape","Private Health","130"
"northern cape","Public Health","1225"
"north west","Private Health","737"
"north west","Public Health","2629"
"western cape","Private Health","2140"
"western cape","Public Health","2866"
