"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","919710"
"Janssen Vaccines & Prevention B.V","free state","Adults","488058"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1553565"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1249502"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1082731"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","832740"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216403"
"Janssen Vaccines & Prevention B.V","north west","Adults","715070"
"Janssen Vaccines & Prevention B.V","western cape","Adults","753188"
"Pfizer","eastern cape","12-17 Years","113384"
"Pfizer","eastern cape","Adults","1135867"
"Pfizer","free state","12-17 Years","79959"
"Pfizer","free state","Adults","597425"
"Pfizer","gauteng","12-17 Years","170657"
"Pfizer","gauteng","Adults","3405514"
"Pfizer","kwazulu-natal","12-17 Years","133607"
"Pfizer","kwazulu-natal","Adults","1661897"
"Pfizer","limpopo","12-17 Years","98462"
"Pfizer","limpopo","Adults","883098"
"Pfizer","mpumalanga","12-17 Years","51509"
"Pfizer","mpumalanga","Adults","477380"
"Pfizer","northern cape","12-17 Years","14548"
"Pfizer","northern cape","Adults","194855"
"Pfizer","north west","12-17 Years","52786"
"Pfizer","north west","Adults","541633"
"Pfizer","western cape","12-17 Years","54039"
"Pfizer","western cape","Adults","1869366"
