"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536493"
"kwazulu-natal","Private Health","1235676"
"western cape","Private Health","1920311"
"limpopo","Private Health","607712"
"northern cape","Public Health","606816"
"gauteng","Private Health","4567846"
"kwazulu-natal","Public Health","4651611"
"free state","Public Health","1859977"
"north west","Public Health","1782723"
"gauteng","Public Health","5824428"
"mpumalanga","Private Health","406030"
"mpumalanga","Public Health","1922592"
"northern cape","Private Health","157881"
"eastern cape","Private Health","693760"
"western cape","Public Health","3675636"
"limpopo","Public Health","3136361"
"free state","Private Health","399914"
"eastern cape","Public Health","3529350"
