"province","health_sector","total_number_vaccines_administered"
"gauteng","","2"
"north west","Private Health","537248"
"kwazulu-natal","Private Health","1236967"
"western cape","Private Health","1922550"
"limpopo","Private Health","609393"
"northern cape","Public Health","609602"
"gauteng","Private Health","4575415"
"kwazulu-natal","Public Health","4667729"
"free state","Public Health","1866778"
"north west","Public Health","1787182"
"gauteng","Public Health","5841840"
"mpumalanga","Private Health","406526"
"mpumalanga","Public Health","1933155"
"northern cape","Private Health","158112"
"eastern cape","Private Health","694323"
"western cape","Public Health","3685140"
"limpopo","Public Health","3147979"
"free state","Private Health","400757"
"eastern cape","Public Health","3554155"
