"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","860037","0","150339","1010376"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","464190","0","93070","557260"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1420940","0","206650","1627590"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1157840","0","179872","1337712"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1050419","0","150647","1201066"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","812846","0","127167","940013"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","207339","0","34388","241727"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","692578","0","112887","805465"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","660200","0","111398","771598"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60872","0","24221","85093"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24396","0","12199","36595"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137575","0","65388","202963"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94506","0","40023","134529"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34187","0","17016","51203"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21925","0","7151","29076"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23478","0","8965","32443"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94614","0","61527","156141"
"Pfizer","National","eastern cape","Adults","1353902","1140082","246370","2740354"
"Pfizer","National","eastern cape","12-17 Years","295104","117551","0","412655"
"Pfizer","National","free state","12-17 Years","170464","80105","0","250569"
"Pfizer","National","free state","Adults","681508","599342","142261","1423111"
"Pfizer","National","gauteng","12-17 Years","386973","170030","18","557021"
"Pfizer","National","gauteng","Adults","3935918","3412688","681077","8029683"
"Pfizer","National","kwazulu-natal","Adults","2001578","1666790","335913","4004281"
"Pfizer","National","kwazulu-natal","12-17 Years","294390","133775","9","428174"
"Pfizer","National","limpopo","Adults","1053890","885403","175650","2114943"
"Pfizer","National","limpopo","12-17 Years","290275","99883","2","390160"
"Pfizer","National","mpumalanga","12-17 Years","148448","53449","0","201897"
"Pfizer","National","mpumalanga","Adults","581416","479103","108176","1168695"
"Pfizer","National","northern cape","12-17 Years","36557","15036","0","51593"
"Pfizer","National","northern cape","Adults","228616","195323","36536","460475"
"Pfizer","National","north west","12-17 Years","150793","52602","4","203399"
"Pfizer","National","north west","Adults","627951","542866","112306","1283123"
"Pfizer","National","western cape","12-17 Years","132145","54363","3","186511"
"Pfizer","National","western cape","Adults","2130563","1872206","490671","4493440"
