"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538352"
"kwazulu-natal","Private Health","1238328"
"western cape","Private Health","1924327"
"limpopo","Private Health","611638"
"northern cape","Public Health","615552"
"gauteng","Private Health","4586809"
"kwazulu-natal","Public Health","4694812"
"mpumalanga","","20"
"free state","Public Health","1876925"
"north west","Public Health","1799546"
"gauteng","Public Health","5880750"
"mpumalanga","Private Health","406906"
"mpumalanga","Public Health","1954573"
"western cape","","2"
"northern cape","Private Health","158430"
"eastern cape","Private Health","695440"
"western cape","Public Health","3702623"
"limpopo","Public Health","3181955"
"limpopo","","2"
"free state","Private Health","402063"
"eastern cape","Public Health","3603707"
