"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","6"
"eastern cape","Public Health","1966"
"free state","Private Health","9"
"free state","Public Health","392"
"gauteng","Private Health","185"
"gauteng","Public Health","1335"
"kwazulu-natal","Private Health","8"
"kwazulu-natal","Public Health","878"
"limpopo","Private Health","77"
"limpopo","Public Health","1246"
"mpumalanga","Private Health","3"
"mpumalanga","Public Health","894"
"northern cape","Private Health","9"
"northern cape","Public Health","255"
"north west","Private Health","35"
"north west","Public Health","374"
"western cape","Private Health","10"
"western cape","Public Health","558"
