"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538604"
"kwazulu-natal","Private Health","1238621"
"western cape","Private Health","1924746"
"limpopo","Private Health","612296"
"northern cape","Public Health","618096"
"gauteng","Private Health","4589997"
"kwazulu-natal","Public Health","4702508"
"mpumalanga","","23"
"free state","Public Health","1879761"
"north west","Public Health","1805390"
"gauteng","Public Health","5896168"
"mpumalanga","Private Health","406991"
"mpumalanga","Public Health","1960159"
"western cape","","3"
"northern cape","Private Health","158518"
"eastern cape","Private Health","695590"
"western cape","Public Health","3708121"
"limpopo","Public Health","3191936"
"limpopo","","2"
"free state","Private Health","402315"
"eastern cape","Public Health","3621170"
