"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Public Health","200"
"free state","Private Health","29"
"free state","Public Health","37"
"gauteng","Private Health","237"
"gauteng","Public Health","906"
"kwazulu-natal","Private Health","158"
"kwazulu-natal","Public Health","542"
"limpopo","Private Health","51"
"limpopo","Public Health","97"
"mpumalanga","Private Health","14"
"mpumalanga","Public Health","27"
"northern cape","Private Health","2"
"north west","Public Health","921"
"western cape","Private Health","2"
"western cape","Public Health","11"
