"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","919637"
"Janssen Vaccines & Prevention B.V","free state","Adults","488027"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1553254"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1249358"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1082622"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","832566"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216380"
"Janssen Vaccines & Prevention B.V","north west","Adults","715000"
"Janssen Vaccines & Prevention B.V","western cape","Adults","753091"
"Pfizer","eastern cape","12-17 Years","112731"
"Pfizer","eastern cape","Adults","1135499"
"Pfizer","free state","12-17 Years","79923"
"Pfizer","free state","Adults","597297"
"Pfizer","gauteng","12-17 Years","170681"
"Pfizer","gauteng","Adults","3405055"
"Pfizer","kwazulu-natal","12-17 Years","133401"
"Pfizer","kwazulu-natal","Adults","1661528"
"Pfizer","limpopo","12-17 Years","98197"
"Pfizer","limpopo","Adults","882885"
"Pfizer","mpumalanga","12-17 Years","51368"
"Pfizer","mpumalanga","Adults","477266"
"Pfizer","northern cape","12-17 Years","14533"
"Pfizer","northern cape","Adults","194827"
"Pfizer","north west","12-17 Years","52791"
"Pfizer","north west","Adults","541590"
"Pfizer","western cape","12-17 Years","54005"
"Pfizer","western cape","Adults","1869189"
