"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536440"
"kwazulu-natal","Private Health","1235471"
"western cape","Private Health","1920087"
"limpopo","Private Health","607585"
"northern cape","Public Health","606711"
"gauteng","Private Health","4567261"
"kwazulu-natal","Public Health","4650429"
"free state","Public Health","1859449"
"north west","Public Health","1782489"
"gauteng","Public Health","5823218"
"mpumalanga","Private Health","405995"
"mpumalanga","Public Health","1921817"
"northern cape","Private Health","157861"
"eastern cape","Private Health","693731"
"western cape","Public Health","3675127"
"limpopo","Public Health","3135263"
"free state","Private Health","399861"
"eastern cape","Public Health","3527212"
