"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","539125"
"free state","","6"
"kwazulu-natal","Private Health","1239093"
"western cape","Private Health","1925334"
"limpopo","Private Health","612865"
"northern cape","Public Health","620411"
"gauteng","Private Health","4593645"
"kwazulu-natal","Public Health","4710674"
"mpumalanga","","23"
"free state","Public Health","1882582"
"north west","Public Health","1811111"
"gauteng","Public Health","5915480"
"mpumalanga","Private Health","407026"
"mpumalanga","Public Health","1966279"
"western cape","","3"
"northern cape","Private Health","158543"
"eastern cape","Private Health","695803"
"western cape","Public Health","3715812"
"limpopo","Public Health","3200718"
"limpopo","","2"
"free state","Private Health","402894"
"eastern cape","Public Health","3638655"
