"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","120"
"Janssen Vaccines & Prevention B.V","free state","Adults","14"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","293"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","163"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","135"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","96"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","37"
"Janssen Vaccines & Prevention B.V","north west","Adults","66"
"Janssen Vaccines & Prevention B.V","western cape","Adults","88"
"Pfizer","eastern cape","12-17 Years","327"
"Pfizer","eastern cape","Adults","313"
"Pfizer","free state","12-17 Years","33"
"Pfizer","free state","Adults","24"
"Pfizer","gauteng","12-17 Years","47"
"Pfizer","gauteng","Adults","165"
"Pfizer","kwazulu-natal","12-17 Years","10"
"Pfizer","kwazulu-natal","Adults","121"
"Pfizer","limpopo","12-17 Years","90"
"Pfizer","limpopo","Adults","147"
"Pfizer","mpumalanga","12-17 Years","90"
"Pfizer","mpumalanga","Adults","105"
"Pfizer","northern cape","12-17 Years","88"
"Pfizer","northern cape","Adults","38"
"Pfizer","north west","12-17 Years","11"
"Pfizer","north west","Adults","21"
"Pfizer","western cape","12-17 Years","77"
"Pfizer","western cape","Adults","112"
