"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","19"
"eastern cape","Public Health","1743"
"free state","Private Health","25"
"free state","Public Health","213"
"gauteng","Private Health","183"
"gauteng","Public Health","892"
"kwazulu-natal","Private Health","29"
"kwazulu-natal","Public Health","660"
"limpopo","Private Health","103"
"limpopo","Public Health","1116"
"limpopo","","2"
"mpumalanga","Private Health","9"
"mpumalanga","Public Health","658"
"northern cape","Private Health","11"
"northern cape","Public Health","299"
"north west","Private Health","14"
"north west","Public Health","247"
"western cape","Private Health","49"
"western cape","Public Health","624"
