"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","507"
"Janssen Vaccines & Prevention B.V","free state","Adults","350"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1230"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","689"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","415"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","910"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","101"
"Janssen Vaccines & Prevention B.V","north west","Adults","389"
"Janssen Vaccines & Prevention B.V","western cape","Adults","471"
"Pfizer","eastern cape","12-17 Years","925"
"Pfizer","eastern cape","Adults","675"
"Pfizer","free state","12-17 Years","622"
"Pfizer","free state","Adults","451"
"Pfizer","gauteng","12-17 Years","1103"
"Pfizer","gauteng","Adults","2832"
"Pfizer","kwazulu-natal","12-17 Years","1054"
"Pfizer","kwazulu-natal","Adults","1215"
"Pfizer","limpopo","12-17 Years","535"
"Pfizer","limpopo","Adults","469"
"Pfizer","mpumalanga","12-17 Years","521"
"Pfizer","mpumalanga","Adults","459"
"Pfizer","northern cape","12-17 Years","47"
"Pfizer","northern cape","Adults","143"
"Pfizer","north west","12-17 Years","712"
"Pfizer","north west","Adults","440"
"Pfizer","western cape","12-17 Years","205"
"Pfizer","western cape","Adults","904"
