"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","1001"
"eastern cape","Public Health","5986"
"free state","Private Health","706"
"free state","Public Health","3292"
"gauteng","Private Health","6140"
"gauteng","Public Health","7436"
"kwazulu-natal","Private Health","1300"
"kwazulu-natal","Public Health","5542"
"limpopo","Private Health","801"
"limpopo","Public Health","3662"
"mpumalanga","Private Health","519"
"mpumalanga","Public Health","4841"
"northern cape","Private Health","288"
"northern cape","Public Health","850"
"north west","Private Health","820"
"north west","Public Health","3191"
"western cape","Private Health","2561"
"western cape","Public Health","3345"
