"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","539130"
"free state","","6"
"kwazulu-natal","Private Health","1239101"
"western cape","Private Health","1925364"
"limpopo","Private Health","612868"
"northern cape","Public Health","620442"
"gauteng","Private Health","4593790"
"kwazulu-natal","Public Health","4710729"
"mpumalanga","","23"
"free state","Public Health","1882606"
"north west","Public Health","1811312"
"gauteng","Public Health","5915649"
"mpumalanga","Private Health","407026"
"mpumalanga","Public Health","1966355"
"western cape","","3"
"northern cape","Private Health","158545"
"eastern cape","Private Health","695816"
"western cape","Public Health","3715894"
"limpopo","Public Health","3200748"
"limpopo","","2"
"free state","Private Health","402894"
"eastern cape","Public Health","3638686"
