"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","154","36","190"
"National","eastern cape","Amathole DM","Private Health","Male","92","18","110"
"National","eastern cape","Amathole DM","Public Health","Female","14411","5569","19980"
"National","eastern cape","Amathole DM","Public Health","Male","12388","4569","16957"
"National","eastern cape","A Nzo DM","Public Health","Female","32651","17633","50284"
"National","eastern cape","A Nzo DM","Public Health","Male","29006","13774","42780"
"National","eastern cape","Buffalo City MM","Private Health","Female","2766","1131","3897"
"National","eastern cape","Buffalo City MM","Private Health","Male","2261","873","3134"
"National","eastern cape","Buffalo City MM","Public Health","Female","16353","9488","25841"
"National","eastern cape","Buffalo City MM","Public Health","Male","13000","6715","19715"
"National","eastern cape","C Hani DM","Private Health","Female","217","105","322"
"National","eastern cape","C Hani DM","Private Health","Male","153","73","226"
"National","eastern cape","C Hani DM","Public Health","Female","13584","3576","17160"
"National","eastern cape","C Hani DM","Public Health","Male","10958","2614","13572"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","643","357","1000"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","481","215","696"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7739","2698","10437"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","6902","2176","9078"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","3972","2004","5976"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3603","1680","5283"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15639","6441","22080"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12198","4578","16776"
"National","eastern cape","O Tambo DM","Private Health","Female","300","116","416"
"National","eastern cape","O Tambo DM","Private Health","Male","238","111","349"
"National","eastern cape","O Tambo DM","Public Health","Female","43377","17058","60435"
"National","eastern cape","O Tambo DM","Public Health","Male","36589","12808","49397"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1532","1059","2591"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1333","803","2136"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9509","5332","14841"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","7995","3985","11980"
"National","free state","Fezile Dabi DM","Private Health","Female","467","338","805"
"National","free state","Fezile Dabi DM","Private Health","Male","438","276","714"
"National","free state","Fezile Dabi DM","Public Health","Female","12995","4982","17977"
"National","free state","Fezile Dabi DM","Public Health","Male","10674","3619","14293"
"National","free state","Lejweleputswa DM","Private Health","Female","3671","1417","5088"
"National","free state","Lejweleputswa DM","Private Health","Male","2942","1074","4016"
"National","free state","Lejweleputswa DM","Public Health","Female","13863","5226","19089"
"National","free state","Lejweleputswa DM","Public Health","Male","11912","3704","15616"
"National","free state","Mangaung MM","Private Health","Female","2919","1993","4912"
"National","free state","Mangaung MM","Private Health","Male","2414","1524","3938"
"National","free state","Mangaung MM","Public Health","Female","23069","13724","36793"
"National","free state","Mangaung MM","Public Health","Male","20637","11114","31751"
"National","free state","T Mofutsanyana DM","Private Health","Female","1800","1106","2906"
"National","free state","T Mofutsanyana DM","Private Health","Male","1551","899","2450"
"National","free state","T Mofutsanyana DM","Public Health","Female","26393","15268","41661"
"National","free state","T Mofutsanyana DM","Public Health","Male","22713","11552","34265"
"National","free state","Xhariep DM","Public Health","Female","4182","1181","5363"
"National","free state","Xhariep DM","Public Health","Male","3432","806","4238"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10556","6442","16998"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9746","5521","15267"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40214","15154","55368"
"National","gauteng","Ekurhuleni MM","Public Health","Male","31964","11122","43086"
"National","gauteng","Johannesburg MM","Private Health","Female","24814","13427","38241"
"National","gauteng","Johannesburg MM","Private Health","Male","22694","11717","34411"
"National","gauteng","Johannesburg MM","Public Health","Female","45585","16658","62243"
"National","gauteng","Johannesburg MM","Public Health","Male","37043","13076","50119"
"National","gauteng","Sedibeng DM","Private Health","Female","1556","989","2545"
"National","gauteng","Sedibeng DM","Private Health","Male","1381","667","2048"
"National","gauteng","Sedibeng DM","Public Health","Female","13533","5792","19325"
"National","gauteng","Sedibeng DM","Public Health","Male","10701","4487","15188"
"National","gauteng","Tshwane MM","Private Health","Female","11176","6458","17634"
"National","gauteng","Tshwane MM","Private Health","Male","10678","5881","16559"
"National","gauteng","Tshwane MM","Public Health","Female","39453","18503","57956"
"National","gauteng","Tshwane MM","Public Health","Male","30634","13086","43720"
"National","gauteng","West Rand DM","Private Health","Female","2130","1478","3608"
"National","gauteng","West Rand DM","Private Health","Male","1776","1205","2981"
"National","gauteng","West Rand DM","Public Health","Female","17202","8717","25919"
"National","gauteng","West Rand DM","Public Health","Male","14102","6541","20643"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","208","70","278"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","177","53","230"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6423","2792","9215"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4168","1743","5911"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11484","6780","18264"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","10728","6022","16750"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14318","5517","19835"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11661","4421","16082"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","343","157","500"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","333","130","463"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","12797","7677","20474"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10032","5579","15611"
"National","kwazulu-natal","iLembe DM","Private Health","Female","525","318","843"
"National","kwazulu-natal","iLembe DM","Private Health","Male","469","273","742"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8183","4071","12254"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4838","2181","7019"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","318","127","445"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","300","89","389"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12129","4970","17099"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","7919","3040","10959"
"National","kwazulu-natal","Ugu DM","Private Health","Female","871","540","1411"
"National","kwazulu-natal","Ugu DM","Private Health","Male","697","411","1108"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12146","5065","17211"
