"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","17"
"eastern cape","Public Health","1927"
"free state","Private Health","1"
"free state","Public Health","296"
"gauteng","Private Health","325"
"gauteng","Public Health","1418"
"kwazulu-natal","Private Health","22"
"kwazulu-natal","Public Health","665"
"limpopo","Private Health","97"
"limpopo","Public Health","1330"
"mpumalanga","Public Health","619"
"northern cape","Private Health","2"
"northern cape","Public Health","275"
"north west","Private Health","20"
"north west","Public Health","479"
"western cape","Private Health","27"
"western cape","Public Health","639"
