"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10390","5098","15488"
"National","eastern cape","Private Health","Male","8803","3964","12767"
"National","eastern cape","Public Health","Female","146013","54875","200888"
"National","eastern cape","Public Health","Male","119680","38904","158584"
"National","free state","Private Health","Female","9190","4615","13805"
"National","free state","Private Health","Male","7569","3562","11131"
"National","free state","Public Health","Female","83705","40603","124308"
"National","free state","Public Health","Male","71547","30505","102052"
"National","gauteng","Private Health","Female","53407","30335","83742"
"National","gauteng","Private Health","Male","49058","26029","75087"
"National","gauteng","Public Health","Female","162570","65830","228400"
"National","gauteng","Public Health","Male","128499","48354","176853"
"National","kwazulu-natal","Private Health","Female","17019","9635","26654"
"National","kwazulu-natal","Private Health","Male","15435","8256","23691"
"National","kwazulu-natal","Public Health","Female","157181","68965","226146"
"National","kwazulu-natal","Public Health","Male","107124","41912","149036"
"National","limpopo","Private Health","Female","11811","5196","17007"
"National","limpopo","Private Health","Male","9213","3640","12853"
"National","limpopo","Public Health","Female","142881","49034","191915"
"National","limpopo","Public Health","Male","123620","36626","160246"
"National","mpumalanga","Private Health","Female","3978","1720","5698"
"National","mpumalanga","Private Health","Male","3464","1521","4985"
"National","mpumalanga","Public Health","Female","76542","26793","103335"
"National","mpumalanga","Public Health","Male","63232","18484","81716"
"National","northern cape","Private Health","Female","2121","1055","3176"
"National","northern cape","Private Health","Male","1949","815","2764"
"National","northern cape","Public Health","Female","17954","6871","24825"
"National","northern cape","Public Health","Male","14080","5023","19103"
"National","north west","Private Health","Female","5214","2423","7637"
"National","north west","Private Health","Male","4717","2038","6755"
"National","north west","Public Health","Female","78585","28015","106600"
"National","north west","Public Health","Male","65166","20359","85525"
"National","western cape","Private Health","Female","23431","12705","36136"
"National","western cape","Private Health","Male","21138","10984","32122"
"National","western cape","Public Health","Female","47274","16044","63318"
"National","western cape","Public Health","Male","39476","13172","52648"
