"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","918061"
"Janssen Vaccines & Prevention B.V","free state","Adults","487403"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1548005"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1246253"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1080241"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","830131"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216099"
"Janssen Vaccines & Prevention B.V","north west","Adults","714010"
"Janssen Vaccines & Prevention B.V","western cape","Adults","751401"
"Pfizer","eastern cape","12-17 Years","106351"
"Pfizer","eastern cape","Adults","1130447"
"Pfizer","free state","12-17 Years","79481"
"Pfizer","free state","Adults","594601"
"Pfizer","gauteng","12-17 Years","170508"
"Pfizer","gauteng","Adults","3394980"
"Pfizer","kwazulu-natal","12-17 Years","130542"
"Pfizer","kwazulu-natal","Adults","1654784"
"Pfizer","limpopo","12-17 Years","95532"
"Pfizer","limpopo","Adults","879709"
"Pfizer","mpumalanga","12-17 Years","49149"
"Pfizer","mpumalanga","Adults","475061"
"Pfizer","northern cape","12-17 Years","14056"
"Pfizer","northern cape","Adults","194226"
"Pfizer","north west","12-17 Years","52758"
"Pfizer","north west","Adults","540242"
"Pfizer","western cape","12-17 Years","53076"
"Pfizer","western cape","Adults","1865087"
