"province","health_sector","visit_date","total_number_vaccines_administered"
"eastern cape","Private Health","2021/05/17 00:00:00","64"
"eastern cape","Private Health","2021/03/18 00:00:00","377"
"limpopo","Public Health","2022/05/12 00:00:00","7899"
"north west","Private Health","2021/12/28 00:00:00","805"
"north west","Private Health","2021/03/11 00:00:00","207"
"northern cape","Private Health","2021/09/05 00:00:00","92"
"limpopo","Private Health","2021/10/16 00:00:00","619"
"northern cape","Public Health","2022/04/27 00:00:00","90"
"free state","Private Health","2022/08/03 00:00:00","29"
"eastern cape","Private Health","2022/08/12 00:00:00","105"
"limpopo","Public Health","2021/07/02 00:00:00","18731"
"north west","Public Health","2021/12/13 00:00:00","3842"
"north west","Public Health","2022/07/28 00:00:00","367"
"free state","Public Health","2022/01/18 00:00:00","4463"
"western cape","Public Health","2021/09/26 00:00:00","20"
"limpopo","Private Health","2021/06/28 00:00:00","363"
"free state","Public Health","2022/07/20 00:00:00","918"
"kwazulu-natal","Public Health","2021/12/21 00:00:00","6383"
"gauteng","Public Health","2022/01/10 00:00:00","19925"
"limpopo","Public Health","2022/06/11 00:00:00","249"
"free state","Public Health","2021/05/17 00:00:00","262"
"free state","Private Health","2021/07/15 00:00:00","1641"
"mpumalanga","Private Health","2022/08/11 00:00:00","63"
"western cape","Private Health","2021/03/18 00:00:00","164"
"western cape","Public Health","2021/08/13 00:00:00","19161"
"kwazulu-natal","Public Health","2021/10/08 00:00:00","20591"
"kwazulu-natal","Public Health","2021/12/23 00:00:00","4341"
"eastern cape","Public Health","2022/07/19 00:00:00","2356"
"northern cape","Public Health","2022/04/03 00:00:00","1"
"limpopo","Public Health","2022/04/09 00:00:00","652"
"eastern cape","Private Health","2022/01/25 00:00:00","1822"
"free state","Private Health","2022/07/12 00:00:00","71"
"mpumalanga","Public Health","2021/07/25 00:00:00","236"
"kwazulu-natal","Public Health","2022/07/31 00:00:00","215"
"free state","Public Health","2021/02/25 00:00:00","801"
"limpopo","Private Health","2022/02/03 00:00:00","1142"
"gauteng","Private Health","2021/03/10 00:00:00","975"
"mpumalanga","Public Health","2021/09/21 00:00:00","9134"
"gauteng","Private Health","2021/03/21 00:00:00","12"
"gauteng","Public Health","2022/04/30 00:00:00","1773"
"eastern cape","Private Health","2022/02/23 00:00:00","1526"
"eastern cape","Public Health","2021/11/21 00:00:00","903"
"mpumalanga","Public Health","2021/10/12 00:00:00","10403"
"kwazulu-natal","Public Health","2021/05/10 00:00:00","1710"
"limpopo","Public Health","2021/07/11 00:00:00","6"
"western cape","Public Health","2022/03/25 00:00:00","7032"
"northern cape","Public Health","2022/07/23 00:00:00","129"
