"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535140"
"kwazulu-natal","Private Health","1232522"
"western cape","Private Health","1913782"
"limpopo","Private Health","603560"
"northern cape","Public Health","604622"
"gauteng","Private Health","4552814"
"kwazulu-natal","Public Health","4627084"
"free state","Public Health","1850146"
"north west","Public Health","1778272"
"gauteng","Public Health","5802896"
"mpumalanga","Private Health","404989"
"mpumalanga","Public Health","1908760"
"northern cape","Private Health","157133"
"eastern cape","Private Health","690779"
"western cape","Public Health","3663896"
"limpopo","Public Health","3118814"
"free state","Private Health","398594"
"eastern cape","Public Health","3500138"
