"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","9"
"eastern cape","Public Health","1497"
"free state","Private Health","8"
"free state","Public Health","290"
"gauteng","Private Health","233"
"gauteng","Public Health","1147"
"kwazulu-natal","Private Health","22"
"kwazulu-natal","Public Health","570"
"limpopo","Private Health","30"
"limpopo","Public Health","680"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","544"
"northern cape","Private Health","23"
"northern cape","Public Health","198"
"north west","Private Health","27"
"north west","Public Health","358"
"western cape","Private Health","23"
"western cape","Public Health","468"
