"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","435","0","821","1256"
"Janssen Vaccines & Prevention B.V","free state","Adults","206","0","485","691"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1018","0","719","1737"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","456","0","610","1066"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","488","0","772","1260"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","735","0","734","1469"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","111","0","143","254"
"Janssen Vaccines & Prevention B.V","north west","Adults","241","0","394","635"
"Janssen Vaccines & Prevention B.V","western cape","Adults","261","0","324","585"
"Pfizer","eastern cape","12-17 Years","641","736","0","1377"
"Pfizer","eastern cape","Adults","407","698","1244","2349"
"Pfizer","free state","12-17 Years","407","451","0","858"
"Pfizer","free state","Adults","218","366","576","1160"
"Pfizer","gauteng","12-17 Years","412","398","0","810"
"Pfizer","gauteng","Adults","1111","1438","1770","4319"
"Pfizer","kwazulu-natal","12-17 Years","821","777","0","1598"
"Pfizer","kwazulu-natal","Adults","706","921","953","2580"
"Pfizer","limpopo","12-17 Years","1058","691","0","1749"
"Pfizer","limpopo","Adults","348","458","794","1600"
"Pfizer","mpumalanga","12-17 Years","252","425","0","677"
"Pfizer","mpumalanga","Adults","277","314","415","1006"
"Pfizer","northern cape","12-17 Years","138","93","0","231"
"Pfizer","northern cape","Adults","139","148","158","445"
"Pfizer","north west","12-17 Years","177","173","0","350"
"Pfizer","north west","Adults","199","280","426","905"
"Pfizer","western cape","12-17 Years","56","85","0","141"
"Pfizer","western cape","Adults","410","530","1020","1960"
