"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","406"
"eastern cape","Public Health","4576"
"free state","Private Health","350"
"free state","Public Health","2359"
"gauteng","Private Health","2395"
"gauteng","Public Health","4471"
"kwazulu-natal","Private Health","570"
"kwazulu-natal","Public Health","4674"
"limpopo","Private Health","393"
"limpopo","Public Health","4216"
"mpumalanga","Private Health","203"
"mpumalanga","Public Health","2949"
"northern cape","Private Health","101"
"northern cape","Public Health","829"
"north west","Private Health","344"
"north west","Public Health","1546"
"western cape","Private Health","1062"
"western cape","Public Health","1624"
