"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","534809"
"kwazulu-natal","Private Health","1231622"
"western cape","Private Health","1912581"
"limpopo","Private Health","602418"
"northern cape","Public Health","603770"
"gauteng","Private Health","4548756"
"kwazulu-natal","Public Health","4617655"
"free state","Public Health","1847190"
"north west","Public Health","1777017"
"gauteng","Public Health","5796952"
"mpumalanga","Private Health","404713"
"mpumalanga","Public Health","1904599"
"northern cape","Private Health","156986"
"eastern cape","Private Health","690028"
"western cape","Public Health","3660500"
"limpopo","Public Health","3113554"
"free state","Private Health","398319"
"eastern cape","Public Health","3489315"
