"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","917670"
"eastern cape","Pfizer","1340514"
"free state","Johnson & Johnson","487229"
"free state","Pfizer","675304"
"gauteng","Johnson & Johnson","1546430"
"gauteng","Pfizer","3912965"
"kwazulu-natal","Johnson & Johnson","1245058"
"kwazulu-natal","Pfizer","1984708"
"limpopo","Johnson & Johnson","1079668"
"limpopo","Pfizer","1043868"
"mpumalanga","Johnson & Johnson","829368"
"mpumalanga","Pfizer","574837"
"northern cape","Johnson & Johnson","216013"
"northern cape","Pfizer","226865"
"north west","Johnson & Johnson","713708"
"north west","Pfizer","623350"
"western cape","Johnson & Johnson","750960"
"western cape","Pfizer","2121711"
