"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10364","5089","15453"
"National","eastern cape","Private Health","Male","8782","3959","12741"
"National","eastern cape","Public Health","Female","145986","55235","201221"
"National","eastern cape","Public Health","Male","119757","39237","158994"
"National","free state","Private Health","Female","9175","4616","13791"
"National","free state","Private Health","Male","7558","3558","11116"
"National","free state","Public Health","Female","83552","40583","124135"
"National","free state","Public Health","Male","71455","30506","101961"
"National","gauteng","Private Health","Female","53302","30300","83602"
"National","gauteng","Private Health","Male","48982","26018","75000"
"National","gauteng","Public Health","Female","162274","65798","228072"
"National","gauteng","Public Health","Male","128308","48368","176676"
"National","kwazulu-natal","Private Health","Female","16977","9627","26604"
"National","kwazulu-natal","Private Health","Male","15418","8249","23667"
"National","kwazulu-natal","Public Health","Female","157078","69321","226399"
"National","kwazulu-natal","Public Health","Male","107079","42121","149200"
"National","limpopo","Private Health","Female","11782","5188","16970"
"National","limpopo","Private Health","Male","9198","3632","12830"
"National","limpopo","Public Health","Female","142933","49151","192084"
"National","limpopo","Public Health","Male","123630","36699","160329"
"National","mpumalanga","Private Health","Female","3968","1717","5685"
"National","mpumalanga","Private Health","Male","3460","1524","4984"
"National","mpumalanga","Public Health","Female","76513","26833","103346"
"National","mpumalanga","Public Health","Male","63218","18539","81757"
"National","northern cape","Private Health","Female","2125","1052","3177"
"National","northern cape","Private Health","Male","1949","815","2764"
"National","northern cape","Public Health","Female","17918","6895","24813"
"National","northern cape","Public Health","Male","14077","5048","19125"
"National","north west","Private Health","Female","5195","2415","7610"
"National","north west","Private Health","Male","4705","2039","6744"
"National","north west","Public Health","Female","78451","27981","106432"
"National","north west","Public Health","Male","65071","20359","85430"
"National","western cape","Private Health","Female","23363","12700","36063"
"National","western cape","Private Health","Male","21106","10982","32088"
"National","western cape","Public Health","Female","47251","16094","63345"
"National","western cape","Public Health","Male","39467","13206","52673"
