"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","524401"
"kwazulu-natal","Private Health","1205730"
"western cape","Private Health","1872286"
"limpopo","Private Health","584896"
"northern cape","Public Health","564924"
"gauteng","Private Health","4441386"
"kwazulu-natal","Public Health","4389083"
"free state","Public Health","1775186"
"north west","Public Health","1720803"
"gauteng","Public Health","5635184"
"mpumalanga","Private Health","391117"
"mpumalanga","Public Health","1788177"
"northern cape","Private Health","153324"
"eastern cape","Private Health","674422"
"western cape","Public Health","3588329"
"limpopo","Public Health","2983299"
"free state","Private Health","387234"
"eastern cape","Public Health","3325890"
