"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","474"
"Janssen Vaccines & Prevention B.V","free state","Adults","232"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1023"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","609"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","410"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","715"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","73"
"Janssen Vaccines & Prevention B.V","north west","Adults","200"
"Janssen Vaccines & Prevention B.V","western cape","Adults","288"
"Pfizer","eastern cape","12-17 Years","310"
"Pfizer","eastern cape","Adults","565"
"Pfizer","free state","12-17 Years","183"
"Pfizer","free state","Adults","358"
"Pfizer","gauteng","12-17 Years","497"
"Pfizer","gauteng","Adults","1527"
"Pfizer","kwazulu-natal","12-17 Years","445"
"Pfizer","kwazulu-natal","Adults","854"
"Pfizer","limpopo","12-17 Years","786"
"Pfizer","limpopo","Adults","420"
"Pfizer","mpumalanga","12-17 Years","183"
"Pfizer","mpumalanga","Adults","352"
"Pfizer","northern cape","12-17 Years","31"
"Pfizer","northern cape","Adults","89"
"Pfizer","north west","12-17 Years","124"
"Pfizer","north west","Adults","256"
"Pfizer","western cape","12-17 Years","240"
"Pfizer","western cape","Adults","502"
