"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","288"
"eastern cape","Public Health","3571"
"free state","Private Health","228"
"free state","Public Health","1792"
"gauteng","Private Health","2354"
"gauteng","Public Health","4537"
"kwazulu-natal","Private Health","491"
"kwazulu-natal","Public Health","3777"
"limpopo","Private Health","321"
"limpopo","Public Health","3921"
"mpumalanga","Private Health","304"
"mpumalanga","Public Health","2620"
"northern cape","Private Health","99"
"northern cape","Public Health","462"
"north west","Private Health","318"
"north west","Public Health","1259"
"western cape","Private Health","945"
"western cape","Public Health","1697"
