"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","246"
"eastern cape","Public Health","2304"
"free state","Private Health","242"
"free state","Public Health","1432"
"gauteng","Private Health","2201"
"gauteng","Public Health","2378"
"kwazulu-natal","Private Health","488"
"kwazulu-natal","Public Health","2718"
"limpopo","Private Health","242"
"limpopo","Public Health","1915"
"mpumalanga","Private Health","249"
"mpumalanga","Public Health","2171"
"northern cape","Private Health","75"
"northern cape","Public Health","679"
"north west","Private Health","272"
"north west","Public Health","834"
"western cape","Private Health","739"
"western cape","Public Health","1099"
