"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","18"
"eastern cape","Public Health","18"
"free state","Public Health","9"
"gauteng","Private Health","151"
"gauteng","Public Health","91"
"kwazulu-natal","Private Health","5"
"kwazulu-natal","Public Health","35"
"limpopo","Private Health","25"
"limpopo","Public Health","13"
"mpumalanga","Public Health","20"
"northern cape","Private Health","4"
"northern cape","Public Health","1"
"north west","Private Health","10"
"north west","Public Health","88"
"western cape","Private Health","19"
"western cape","Public Health","52"
