"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","free state","Adults","1","0","0","1"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","31","0","17","48"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","12","0","19","31"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","15","0","5","20"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","5","0","4","9"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","4","0","0","4"
"Janssen Vaccines & Prevention B.V","north west","Adults","13","0","39","52"
"Janssen Vaccines & Prevention B.V","western cape","Adults","3","0","9","12"
"Pfizer","eastern cape","12-17 Years","3","1","0","4"
"Pfizer","eastern cape","Adults","12","11","9","32"
"Pfizer","free state","12-17 Years","0","1","0","1"
"Pfizer","free state","Adults","0","3","4","7"
"Pfizer","gauteng","12-17 Years","9","10","0","19"
"Pfizer","gauteng","Adults","70","56","49","175"
"Pfizer","kwazulu-natal","Adults","3","1","5","9"
"Pfizer","limpopo","Adults","3","8","7","18"
"Pfizer","mpumalanga","Adults","4","6","1","11"
"Pfizer","northern cape","12-17 Years","0","1","0","1"
"Pfizer","north west","12-17 Years","2","3","0","5"
"Pfizer","north west","Adults","2","20","19","41"
"Pfizer","western cape","12-17 Years","4","0","0","4"
"Pfizer","western cape","Adults","7","13","35","55"
